City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Marsa Matruh,EG,31.35,27.25,73.02,76,0,14.36,clear sky,0.0,0
1,Lasem,ID,-6.69,111.45,76.71,85,99,6.06,overcast clouds,0.0,0
2,Rikitea,PF,-23.12,-134.97,70.54,70,75,18.79,broken clouds,0.0,0
3,Namibe,AO,-15.2,12.15,69.31,59,0,3.8,clear sky,0.0,0
4,Kaitangata,NZ,-46.28,169.85,34.48,86,0,3.83,clear sky,0.0,0
5,Cape Town,ZA,-33.93,18.42,57.99,93,75,8.05,broken clouds,0.0,0
6,Saint Anthony,US,45.02,-93.22,84.2,45,40,6.93,scattered clouds,0.0,0
7,Batie,BF,9.88,-2.92,83.71,52,80,5.73,broken clouds,0.0,0
8,Poum,NC,-20.23,164.02,72.14,72,56,12.68,broken clouds,0.0,0
9,Coquimbo,CL,-29.95,-71.34,60.8,72,3,11.41,clear sky,0.0,0
10,Chihuahua,MX,28.5,-106.0,84.2,26,75,24.16,broken clouds,0.0,0
11,Bethel,US,41.37,-73.41,90.0,48,20,8.05,few clouds,0.0,0
12,Vaini,TO,-21.2,-175.2,77.0,88,75,4.7,broken clouds,0.0,0
13,Busselton,AU,-33.65,115.33,57.0,51,0,20.09,clear sky,0.0,0
14,Aklavik,CA,68.22,-135.01,55.4,62,75,5.82,broken clouds,0.0,0
15,Punta Arenas,CL,-53.15,-70.92,37.4,93,75,4.7,broken clouds,0.0,0
16,Dikson,RU,73.51,80.55,43.88,72,53,14.83,broken clouds,0.0,0
17,Khatanga,RU,71.97,102.5,60.71,59,86,12.08,overcast clouds,0.0,0
18,Hobart,AU,-42.88,147.33,53.6,93,75,5.82,light intensity shower rain,1.61,0
19,Sitka,US,57.05,-135.33,53.6,71,90,3.36,overcast clouds,0.0,0
20,Port Blair,IN,11.67,92.75,82.76,80,100,8.41,overcast clouds,0.0,0
21,Saint-Philippe,RE,-21.36,55.77,66.2,82,20,4.7,few clouds,0.0,0
22,Hilo,US,19.73,-155.09,78.8,65,90,4.7,overcast clouds,0.0,0
23,Los Llanos De Aridane,ES,28.66,-17.92,73.4,69,20,14.99,few clouds,0.0,0
24,Rio Gallegos,AR,-51.62,-69.22,37.4,93,97,2.24,overcast clouds,0.0,0
25,Bambous Virieux,MU,-20.34,57.76,72.0,78,40,14.99,scattered clouds,0.0,0
26,Luderitz,NA,-26.65,15.16,53.6,93,0,6.93,clear sky,0.0,0
27,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,few clouds,0.0,0
28,Ko Samui,TH,9.54,99.94,83.46,76,100,11.48,moderate rain,6.59,0
29,Jamestown,US,42.1,-79.24,84.2,39,20,8.05,few clouds,0.0,0
30,Mount Isa,AU,-20.73,139.5,51.8,48,0,17.22,clear sky,0.0,0
31,Snezhnogorsk,RU,69.19,33.25,53.6,50,91,6.71,overcast clouds,0.0,0
32,Bantou,CN,26.22,117.49,77.2,81,100,1.72,overcast clouds,0.0,0
33,Shimoda,JP,34.67,138.95,63.0,95,100,7.0,heavy intensity rain,10.35,0
34,Kapaa,US,22.08,-159.32,82.4,65,40,12.75,scattered clouds,0.0,0
35,Hasaki,JP,35.73,140.83,66.2,100,75,10.29,broken clouds,0.0,0
36,Saint-Georges,GD,12.06,-61.75,86.0,74,20,28.86,dust,0.0,0
37,Cidreira,BR,-30.18,-50.21,72.16,69,31,8.66,scattered clouds,0.0,0
38,Leningradskiy,RU,69.38,178.42,50.61,63,0,2.42,clear sky,0.0,0
39,Hamilton,US,39.18,-84.53,75.0,78,90,4.72,light rain,1.73,0
40,Puerto Ayora,EC,-0.74,-90.35,78.8,69,20,24.16,few clouds,0.0,0
41,Upata,VE,8.01,-62.4,85.06,55,73,7.67,broken clouds,0.0,0
42,Kavieng,PG,-2.57,150.8,83.07,73,33,4.63,scattered clouds,0.0,0
