City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Shaunavon,CA,2020-06-17 03:44:03,49.65,-108.42,50.86,94,100,14.34
1,Shubarshi,KZ,2020-06-17 03:44:03,48.59,57.19,74.32,36,0,2.86
2,New Norfolk,AU,2020-06-17 03:44:03,-42.78,147.06,51.01,78,46,1.99
3,Visnes,NO,2020-06-17 03:35:19,59.36,5.22,55.4,93,90,9.17
4,Airai,TL,2020-06-17 03:44:03,-8.93,125.41,70.38,72,11,6.91
5,Grindavik,IS,2020-06-17 03:44:04,63.84,-22.43,44.6,81,75,9.17
6,Eatonton,US,2020-06-17 03:44:04,33.33,-83.39,63.0,93,0,5.12
7,Novo Aripuana,BR,2020-06-17 03:44:04,-5.12,-60.38,75.34,80,24,0.67
8,Mataura,NZ,2020-06-17 03:44:04,-46.19,168.86,43.57,94,100,2.71
9,Galle,LK,2020-06-17 03:44:04,6.04,80.22,83.23,82,89,12.91
10,Sitka,US,2020-06-17 03:44:05,57.05,-135.33,51.8,76,90,3.94
11,Puerto Ayora,EC,2020-06-17 03:44:05,-0.74,-90.35,72.0,88,88,1.01
12,Coquimbo,CL,2020-06-17 03:44:05,-29.95,-71.34,55.4,76,20,3.36
13,Padang,ID,2020-06-17 03:44:05,-0.95,100.35,85.24,66,12,4.25
14,Jamestown,US,2020-06-17 03:44:05,42.1,-79.24,62.6,59,1,6.93
15,Hobart,AU,2020-06-17 03:40:28,-42.88,147.33,52.0,50,20,10.29
16,Vaini,TO,2020-06-17 03:44:06,-21.2,-175.2,75.2,69,20,11.41
17,Aksarka,RU,2020-06-17 03:35:04,66.56,67.8,45.0,55,21,15.84
18,Punta Arenas,CL,2020-06-17 03:39:19,-53.15,-70.92,33.8,86,91,11.41
19,Ravar,IR,2020-06-17 03:44:06,31.27,56.81,90.63,11,0,4.07
20,Banjar,ID,2020-06-17 03:44:06,-8.19,114.97,86.0,84,40,17.22
21,Kapaa,US,2020-06-17 03:44:07,22.08,-159.32,79.0,59,30,8.01
22,Ranong,TH,2020-06-17 03:44:07,9.97,98.63,78.8,100,75,8.55
23,Innisfail,AU,2020-06-17 03:44:07,-17.53,146.03,71.92,89,73,11.88
24,Kaputa,ZM,2020-06-17 03:44:07,-8.47,29.66,60.91,60,3,6.15
25,Rawson,AR,2020-06-17 03:42:22,-43.3,-65.1,50.41,52,28,9.31
26,Namibe,AO,2020-06-17 03:44:08,-15.2,12.15,70.74,54,0,5.26
27,Cumanayagua,CU,2020-06-17 03:44:08,22.15,-80.2,75.2,94,100,5.82
28,Rikitea,PF,2020-06-17 03:44:08,-23.12,-134.97,75.31,78,0,17.07
29,Lebu,CL,2020-06-17 03:44:08,-37.62,-73.65,52.34,94,100,10.6
30,Tuatapere,NZ,2020-06-17 03:44:09,-46.13,167.68,47.43,78,100,4.43
31,Ushuaia,AR,2020-06-17 03:44:09,-54.8,-68.3,39.2,80,90,20.8
32,Naze,JP,2020-06-17 03:44:09,28.37,129.48,80.6,88,75,6.93
33,Nanortalik,GL,2020-06-17 03:44:09,60.14,-45.24,37.06,84,32,8.46
34,Port Hedland,AU,2020-06-17 03:44:09,-20.32,118.57,82.4,39,0,9.17
35,Vaitape,PF,2020-06-17 03:44:10,-16.52,-151.75,79.47,82,98,8.81
36,Barrow,US,2020-06-17 03:44:10,71.29,-156.79,39.2,80,40,16.11
37,Ponta Do Sol,PT,2020-06-17 03:44:10,32.67,-17.1,68.0,94,40,2.24
38,Ahipara,NZ,2020-06-17 03:44:10,-35.17,173.17,61.2,75,100,9.24
39,Albany,US,2020-06-17 03:43:08,42.6,-73.97,66.99,59,0,3.06
40,Oranjestad,AW,2020-06-17 03:39:26,12.52,-70.03,80.6,78,20,19.46
41,Berdigestyakh,RU,2020-06-17 03:44:11,62.1,126.7,76.15,34,0,10.58
42,Lompoc,US,2020-06-17 03:44:11,34.64,-120.46,57.2,71,0,13.87
43,Cape Town,ZA,2020-06-17 03:43:28,-33.93,18.42,48.99,87,0,3.36
44,Dingle,PH,2020-06-17 03:44:11,11.0,122.67,90.45,53,99,5.32
45,Richards Bay,ZA,2020-06-17 03:44:12,-28.78,32.04,60.51,79,99,5.46
46,Miraflores,MX,2020-06-17 03:44:12,19.22,-98.81,68.0,49,5,11.41
47,Kahului,US,2020-06-17 03:31:15,20.89,-156.47,82.4,51,40,20.8
48,Bengkulu,ID,2020-06-17 03:44:12,-3.8,102.27,86.16,63,5,3.44
49,Butaritari,KI,2020-06-17 03:44:12,3.07,172.79,83.25,77,63,8.57
50,Pisco,PE,2020-06-17 03:44:13,-13.7,-76.22,61.0,82,2,3.36
51,Westport,US,2020-06-17 03:44:13,41.14,-73.36,64.4,88,1,5.82
52,Port Alfred,ZA,2020-06-17 03:44:13,-33.59,26.89,48.99,89,0,11.48
53,Yar-Sale,RU,2020-06-17 03:30:41,66.83,70.83,45.39,53,30,15.26
54,Yavas,RU,2020-06-17 03:44:13,54.42,42.85,67.46,71,90,2.93
55,Hermanus,ZA,2020-06-17 03:44:14,-34.42,19.23,53.01,78,0,5.79
56,Carnarvon,AU,2020-06-17 03:44:14,-24.87,113.63,80.6,47,0,10.29
57,Avarua,CK,2020-06-17 03:44:14,-21.21,-159.78,75.2,57,0,4.7
58,Mahebourg,MU,2020-06-17 03:44:14,-20.41,57.7,71.6,78,75,16.11
59,Isilkul,RU,2020-06-17 03:44:15,54.91,71.27,66.54,54,2,5.44
60,Port Elizabeth,ZA,2020-06-17 03:44:15,-33.92,25.57,51.8,87,0,5.7
61,Torbay,CA,2020-06-17 03:30:18,47.67,-52.73,57.2,54,90,18.34
62,Vila Franca Do Campo,PT,2020-06-17 03:34:59,37.72,-25.43,64.4,88,40,10.29
63,Bluff,NZ,2020-06-17 03:44:15,-46.6,168.33,48.63,73,100,14.36
64,Cayenne,GF,2020-06-17 03:31:20,4.93,-52.33,77.0,100,96,2.95
65,Buin,CL,2020-06-17 03:44:16,-33.73,-70.75,48.2,87,90,6.93
66,Anzio,IT,2020-06-17 03:44:16,41.49,12.62,63.0,99,0,1.01
67,Whitehorse,CA,2020-06-17 03:31:09,60.72,-135.05,50.0,87,75,9.17
68,Ilovlya,RU,2020-06-17 03:44:16,49.3,43.98,68.0,45,0,13.42
69,Ribeira Grande,PT,2020-06-17 03:44:17,38.52,-28.7,64.96,87,67,18.79
70,Hidalgo,MX,2020-06-17 03:44:17,20.5,-99.0,59.04,96,11,4.5
71,Ostroleka,PL,2020-06-17 03:41:05,53.09,21.58,61.0,92,3,1.01
72,Busselton,AU,2020-06-17 03:43:27,-33.65,115.33,60.01,73,86,20.29
73,Atuona,PF,2020-06-17 03:44:18,-9.8,-139.03,80.28,76,70,18.61
74,Geraldton,AU,2020-06-17 03:44:18,-28.77,114.6,77.0,31,75,20.8
75,Lazaro Cardenas,MX,2020-06-17 03:30:53,17.96,-102.2,79.63,80,0,3.58
76,Saskylakh,RU,2020-06-17 03:44:18,71.92,114.08,64.53,39,27,19.55
77,Georgetown,MY,2020-06-17 03:44:19,5.41,100.34,87.8,74,20,4.7
78,Luganville,VU,2020-06-17 03:44:19,-15.53,167.17,82.4,83,90,8.05
79,Bandarbeyla,SO,2020-06-17 03:44:19,9.49,50.81,84.7,54,100,31.16
80,Kangaatsiaq,GL,2020-06-17 03:31:15,68.31,-53.46,35.04,87,100,7.49
81,Nandu,CN,2020-06-17 03:44:19,22.85,110.82,89.01,66,25,10.58
82,Mar Del Plata,AR,2020-06-17 03:44:20,-38.0,-57.56,57.99,100,90,4.7
83,Zhezkazgan,KZ,2020-06-17 03:44:20,47.8,67.71,62.6,45,34,11.18
84,Alofi,NU,2020-06-17 03:44:20,-19.06,-169.92,77.0,57,75,18.34
85,Longyearbyen,SJ,2020-06-17 03:44:05,78.22,15.64,37.4,69,75,9.17
86,Voh,NC,2020-06-17 03:44:20,-20.97,164.7,78.6,53,1,8.3
87,Fortuna,US,2020-06-17 03:34:32,40.6,-124.16,57.99,76,1,14.99
88,Talara,PE,2020-06-17 03:44:21,-4.58,-81.27,67.73,78,0,13.67
89,Faya,SA,2020-06-17 03:44:21,18.39,42.45,66.2,22,0,4.7
90,Alice Town,BS,2020-06-17 03:44:21,25.72,-79.3,80.8,72,0,12.41
91,Vallenar,CL,2020-06-17 03:44:21,-28.57,-70.76,52.34,84,29,5.08
92,Bossangoa,CF,2020-06-17 03:44:22,6.49,17.46,68.23,94,90,3.91
93,Codrington,AU,2020-06-17 03:44:22,-38.27,141.97,54.36,58,87,4.03
